Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"
4066,"Baystate Health, Inc.",HHS,4066,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$266,052,000","$297,796,000",,"$201,785,000",,"$19,093,000","$149,519,000","$934,245,000","$575,413,000",,,"$19,665,000","$2,268,759,000","$1,418,577,000","$850,182,000","$155,057,000","$1,600,317,000","$2,534,562,000","$19,752,000","$36,255,000",,"$679,179,000","$735,186,000","$558,693,000",,"$266,261,000","$824,954,000","$1,560,140,000","$839,440,000","$68,760,000","$66,222,000","$974,422,000","$2,534,562,000","$1,863,147,000",,"$1,216,332,000","$37,585,000","$39,515,000","$4,496,000","$3,161,075,000","$12,916,000",,,"($4,416,000)",,"$8,500,000","$3,169,575,000","$1,378,533,000",,"$83,144,000","$20,377,000","$60,510,000","$1,681,624,000",,"$3,224,188,000","($54,613,000)",,"$1,066,000","($53,547,000)","$3,598,000",,"($49,949,000)",-2.0%,0.3%,-1.7%,1.3,40,81,(0.1),-2.0%,38.4%,17
5,Baystate Franklin Medical Center,AcuteHospital,4066,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$1,303,000","$390,000",,"$11,949,000","$199,000","$2,113,000","$4,172,000","$20,126,000","$5,480,000",,"$11,565,000","$375,000","$166,647,000","$119,698,000","$46,949,000","$15,000","$64,384,000","$84,510,000","$1,408,000","$2,072,000","$4,221,000","$15,154,000","$22,855,000","$17,297,000",,"$231,000","$17,528,000","$40,383,000","$27,574,000","$7,383,000","$9,170,000","$44,127,000","$84,510,000","$118,573,000",,"$9,498,000","$1,036,000","$2,401,000","$307,000","$131,815,000","$8,000",,,"($2,242,000)",,"($2,234,000)","$129,581,000","$52,081,000",,"$4,636,000","$747,000","$3,282,000","$70,826,000",,"$131,572,000","($1,991,000)","$4,433,000","$155,000","$2,597,000","$267,000",,"$2,864,000",0.2%,-1.7%,-1.5%,0.9,37,60,1.6,6.6%,52.2%,26
4,Baystate Medical Center,AcuteHospital,4066,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$91,755,000","$111,478,000",,"$172,294,000","$66,356,000","$15,442,000","$63,854,000","$521,179,000","$314,070,000",,"$13,516,000","$18,165,000","$1,806,943,000","$1,093,224,000","$713,719,000","$27,299,000","$1,086,769,000","$1,607,948,000","$16,672,000","$27,908,000","$656,000","$271,225,000","$316,461,000","$491,014,000",,"$40,840,000","$531,854,000","$848,315,000","$743,682,000","$10,701,000","$5,250,000","$759,633,000","$1,607,948,000","$1,619,359,000",,"$119,422,000","$26,933,000","$33,319,000","$1,531,000","$1,800,564,000","$12,323,000",,,"$2,263,000",,"$14,586,000","$1,815,150,000","$715,248,000",,"$66,040,000","$14,640,000","$53,197,000","$938,433,000",,"$1,787,558,000","$27,592,000","($64,184,000)","$609,000","($35,983,000)","$2,171,000",,"($33,812,000)",0.7%,0.8%,1.5%,1.6,39,61,3.5,11.6%,47.2%,17
106,Baystate Noble Hospital,AcuteHospital,4066,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$4,252,000",,,"$8,454,000","$187,000","$637,000","$1,824,000","$15,354,000","$1,392,000",,"$1,296,000",,"$98,907,000","$74,279,000","$24,628,000","$141,000","$27,457,000","$42,811,000","$77,000","$3,924,000","$2,258,000","$8,454,000","$14,713,000","$9,000",,"$2,900,000","$2,909,000","$17,622,000","$22,694,000","$687,000","$1,808,000","$25,189,000","$42,811,000","$81,177,000",,"$3,278,000","$562,000","$1,493,000","$121,000","$86,631,000","($9,000)",,,"$19,000",,"$10,000","$86,641,000","$39,354,000",,"$4,329,000","$127,000","$1,850,000","$37,253,000",,"$82,913,000","$3,728,000","$542,000","$87,000","$4,357,000",,,"$4,357,000",4.3%,,4.3%,1.0,38,50,40.1,54.7%,58.8%,17
14495,Baystate Wing Hospital,AcuteHospital,4066,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$4,975,000","$8,406,000",,"$12,440,000","$91,000","$901,000","$2,342,000","$29,155,000","$8,366,000",,"$2,352,000",,"$116,534,000","$66,924,000","$49,610,000","$27,000","$60,355,000","$89,510,000","$976,000","$2,248,000","$21,442,000","$16,510,000","$41,176,000","$21,705,000",,"$797,000","$22,502,000","$63,678,000","$15,817,000","$2,593,000","$7,422,000","$25,832,000","$89,510,000","$102,754,000",,"$3,040,000","$733,000","$2,302,000","$56,000","$108,885,000","$189,000",,,"$237,000",,"$426,000","$109,311,000","$45,312,000",,"$4,342,000","$734,000","$2,181,000","$58,089,000",,"$110,658,000","($1,347,000)","$762,000","$164,000","($421,000)","$54,000",,"($367,000)",-1.6%,0.4%,-1.2%,0.7,44,134,2.2,4.8%,28.9%,15
11490,Baystate Medical Practice,PhysicianOrganization,4066,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$201,356,000",,"$218,556,000","$7,792,000",,"$1,423,000","$429,127,000",,,,"($6,220,000)",,"($6,220,000)","$422,907,000","$375,358,000",,"$1,667,000","$39,000",,"$130,350,000",,"$507,414,000","($84,507,000)","$92,884,000","$40,000","$8,417,000","$726,000",,"$9,143,000",-18.5%,-1.5%,-20.0%,-,,,,,,
3106,"Berkshire Health Systems, Inc.",HHS,3106,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$164,428,081",,,"$69,499,367",,,"$35,173,524","$269,100,972","$383,785,091",,,,"$777,174,702","$593,343,833","$183,830,869","$18,869,832","$586,485,792","$855,586,764","$4,220,000","$44,954,903",,"$88,193,506","$137,368,409","$46,253,000",,"$45,586,839","$91,839,839","$229,208,248","$580,649,546","$37,587,526","$8,141,444","$626,378,516","$855,586,764","$665,510,548","$4,139,168","$143,408,302","$804,982","$3,365,458","$163,971","$817,392,429","$25,097,164",,,"$7,681,732",,"$32,778,896","$850,171,325","$449,509,204",,"$33,393,010","$479,267","$13,056,798","$302,433,841",,"$798,872,120","$51,299,205",,"$910,393","$52,209,598",,,"$52,209,598",2.2%,3.9%,6.0%,2.0,38,44,16.5,41.9%,73.2%,18
6309,Berkshire Medical Center,AcuteHospital,3106,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$146,893,443",,,"$56,420,933",,,"$28,550,845","$231,865,221","$332,174,992",,,,"$726,847,676","$554,764,559","$172,083,117","$23,383,958","$527,642,067","$759,507,288","$4,017,440","$36,374,442","$59,968,454","$66,153,687","$166,514,023","$44,032,760",,"$12,500,862","$56,533,622","$223,047,645","$497,111,574","$31,464,867","$7,883,202","$536,459,643","$759,507,288","$520,067,108","$1,593,772","$137,889,263","$804,979","$3,365,458","$90,009","$663,810,589","$21,431,209",,,"$6,403,837",,"$27,835,046","$691,645,635","$296,324,189",,"$30,820,654","$456,210","$12,309,030","$285,546,785",,"$625,456,868","$66,188,767","($32,298,900)",,"$33,889,867",,,"$33,889,867",5.5%,4.0%,9.6%,1.4,40,80,21.8,46.1%,70.6%,18
8,Fairview Hospital,AcuteHospital,3106,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$147,902",,,"$9,258,249","$44,773,857",,"$1,382,579","$55,562,587","$37,641,152",,,,"$48,568,275","$37,107,965","$11,460,310","$367,658","$49,469,120","$105,031,707","$202,560","$8,791,268",,"$6,234,074","$15,227,902","$2,220,240",,"$2,282,847","$4,503,087","$19,730,989","$78,919,817","$6,122,659","$258,242","$85,300,718","$105,031,707","$85,825,871","$1,544,187","$6,959,212",,,"$73,963","$94,403,233","$3,656,299",,,"$688,551",,"$4,344,850","$98,748,083","$44,998,387",,"$2,427,264","$23,057","$747,768","$31,539,549",,"$79,736,025","$19,012,058","($484,452)",,"$18,527,606",,,"$18,527,606",14.9%,4.4%,19.3%,3.6,39,30,95.1,122.9%,81.2%,15
11794,Berkshire Faculty Services,PhysicianOrganization,3106,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$46,608,536","$779,256","$5,761,415",,,,"$53,149,207",,,,,,-,"$53,149,207","$61,179,096",,,,,"$20,229,109",,"$81,408,205","($28,258,998)","$28,258,998",,,,,-,-53.2%,,-53.2%,-,,,,,,
